valid,lat,lon,name,adm,airport,allairport,alltime,nonairport,nontime,oneairport,onetime,twoairport,twotime,time
true,16.666591,-9.616659,AyounelAtrous,MRT,,BKO,,FNA,,BKO,,BOY,,21.562032707655845 
true,35.472239,44.392267,Kirkuk,IRQ,,ISU,,IKA,,ISU,,BGW,,14.080945158814377 
true,42.000006,21.433461,Skopje,MKD,,SKP,,SKP,,KSO,,CKZ,,7.60972808838007 
true,36.345002,43.145004,Mosul,IRQ,,EBL,,IKA,,EBL,,VAN,,13.609792132528177 
true,26.366645,15.800007,Tmassah,LBY,,QUB,,TIP,,QUB,,AKF,,16.247199693811574 
true,32.000332,44.335371,AnNajaf,IRQ,,NJF,,KWI,,NJF,,BGW,,13.240087142150342 
true,66.500035,25.715939,Rovaniemi,FIN,,RVN,,SFT,,RVN,,LLA,,10.397578559346364 
true,61.500004,23.750013,Tampere,FIN,,TMP,,TMP,,POR,,KOK,,7.324917880069136 
true,11.600053,37.383289,BahirDar,ETH,,BJR,,ADD,,BJR,,SHC,,16.707295892957138 
true,50.280018,57.169988,Aqtobe,KAZ,,AKX,,,,AKX,,URA,,12.692367873886784 
true,9.589995,41.860018,DireDawa,ETH,,DIR,,ADD,,JIB,,DIR,,18.438131135474066 
true,52.952697,63.130038,Rudny,KAZ,,KSN,,TSE,,KSN,,KRO,,13.727778678429988 
true,63.099984,21.600015,Vaasa,FIN,,VAA,,SFT,,VAA,,KOK,,9.374686369023612 
true,13.499989,39.469983,Mekele,ETH,,MQX,,ADD,,MQX,,SHC,,16.962330231839477 
true,52.299998,76.950021,Pavlodar,KAZ,,PWQ,,TSE,,PWQ,,TCG,,14.726705862483577 
true,49.990035,82.614947,Oskemen,KAZ,,UKK,,TSE,,UKK,,TCG,,15.47995316159978 
true,44.800016,65.464986,Qyzylorda,KAZ,,KZO,,TAS,,DZN,,DYU,,18.746205909638505 
true,31.920053,54.370004,Yazd,IRN,,AZD,,IKA,,IFN,,KER,,17.99578383080889 
true,47.112691,51.920024,Atyrau,KAZ,,GUW,,GYD,,GUW,,SCO,,12.398265075053853 
true,51.729981,75.31994,Ekibastuz,KAZ,,PWQ,,TSE,,PWQ,,KRO,,16.670983640261355 
true,50.434995,80.275038,Semey,KAZ,,PLX,,TSE,,PLX,,TCG,,15.251803371835123 
true,31.279989,48.720013,Ahvaz,IRN,,AWZ,,KWI,,BSR,,AWZ,,16.215256068147053 
true,30.513524,47.813557,Basra,IRQ,,BSR,,KWI,,BSR,,MRX,,14.127067727256117 
true,27.20406,56.272136,Bandar-e-Abbas,IRN,,BND,,DXB,,KHS,,BND,,17.367960263349516 
true,34.796027,48.515013,Hamadan,IRN,,HDM,,IKA,,KSH,,HDM,,14.88460459918905 
true,38.086292,46.301246,Tabriz,IRN,,TBZ,,GYD,,TBZ,,VAN,,13.039634762757643 
true,30.927762,75.872257,Ludhiana,IND,,LUH,,LHE,,LUH,,SXR,,17.510649436767984 
true,25.179999,75.834999,Kota,IND,,JAI,,DEL,,JAI,,AGR,,20.67454779741406 
true,26.291766,73.016773,Jodhpur,IND,,JDH,,DEL,,JDH,,AGR,,18.12578567408742 
true,42.320012,69.595018,Shymkent,KAZ,,CIT,,TAS,,CIT,,DYU,,14.819254138042645 
true,42.899977,71.364987,Taraz,KAZ,,DMB,,TAS,,DMB,,DYU,,14.980981991314426 
true,26.855039,80.914999,Lucknow,IND,,LKO,,DEL,,LKO,,KEP,,18.16270798677329 
true,29.970017,77.550036,Saharanpur,IND,,DED,,DEL,,DED,,AGR,,18.28201870220783 
true,23.370006,85.330026,Ranchi,IND,,IXR,,DAC,,IXR,,BIR,,19.033160900669863 
true,25.229996,86.980003,Bhagalpur,IND,,BIR,,DAC,,RJH,,BIR,,23.54949319043013 
true,21.234995,81.635006,Raipur,IND,,RPR,,HYD,,RPR,,HJR,,19.016761638493357 
true,23.175057,79.955057,Jabalpur,IND,,JLR,,HYD,,JLR,,HJR,,18.64375843096793 
true,22.715059,75.865023,Indore,IND,,IDR,,BOM,,IDR,,HJR,,18.470450899889148 
true,11.934994,79.83,Pondicherry,IND,,MAA,,MAA,,TRZ,,TRR,,19.893697429471835 
true,11.669997,78.180075,Salem,IND,,TRZ,,BLR,,TRZ,,TRR,,20.32553302559362 
true,10.809998,78.689967,Tiruchirappalli,IND,,TRZ,,BLR,,TRZ,,TRR,,20.31436175521347 
true,10.389998,-9.310011,Kankan,GIN,,BKO,,FNA,,BKO,,BOY,,18.694088263211402 
true,7.760003,-8.829988,Nzerekore,GIN,,ROB,,FNA,,ROB,,BOY,,19.000602342962598 
true,7.689982,-5.030014,Bouake,CIV,,ABJ,,ACC,,ABJ,,BOY,,19.638359140124805 
true,-20.878895,55.448078,St.-Denis,FRA,,RUN,,MRU,,RUN,,TMM,,22.396687376429202 
true,-9.966589,-67.800007,RioBranco,BRA,,RBR,,,,VVI,,LET,,32.05993315611419 
true,-2.515985,-44.265991,SãoLuís,BRA,,SLZ,,,,FOR,,SLZ,,21.25555282471152 
true,-4.770007,11.880039,Pointe-Noire,COG,,PNR,,LAD,,PNR,,POG,,16.845657387415773 
true,-8.750023,-63.900012,PortoVelho,BRA,,PVH,,,,VVI,,LET,,28.20874194949 
true,-12.470002,-49.082002,Alvorada,BRA,,GRP,,,,BSB,,MQH,,27.07306066611531 
true,-19.016011,-57.650006,Corumba,BRA,,CMG,,,,VVI,,BYO,,26.914599647188993 
true,-19.915026,-43.915005,BeloHorizonte,BRA,,PLU,,GIG,,CNF,,IPN,,21.556211910033284 
true,-18.899998,-48.279984,Uberlandia,BRA,,UDI,,GRU,,BSB,,UDI,,23.537521735632996 
true,-16.720027,-43.860021,MontesClaros,BRA,,MOC,,GIG,,CNF,,MOC,,23.651573079517725 
true,-10.817287,-55.450579,Colider,BRA,,OPS,,,,BSB,,OPS,,27.07563213750548 
true,-9.90003,-55.909983,AltaFloresta,BRA,,AFL,,,,,,OPS,,27.70391503522633 
true,-15.569607,-56.084985,Cuiaba,BRA,,CGB,,,,VVI,,CGB,,24.444384789926385 
true,-31.750014,-52.330021,Pelotas,BRA,,PET,,EZE,,POA,,PET,,25.698112972254926 
true,-29.17999,-51.17004,CaxiasdoSul,BRA,,CXJ,,GRU,,POA,,CXJ,,25.081766083333417 
true,-25.090007,-50.16005,PontaGrossa,BRA,,CWB,,GRU,,CWB,,GPB,,24.047831051812306 
true,-5.095,-42.780009,Teresina,BRA,,THE,,,,FOR,,THE,,20.96113887496839 
true,-9.619996,-35.729974,Maceio,BRA,,MCZ,,,,REC,,MCZ,,21.12740188504008 
true,-12.139997,-45.000003,Barreiras,BRA,,BRA,,,,BSB,,BRA,,22.96764729482456 
true,-14.850012,-40.839998,VitoriadaConquista,BRA,,VDC,,GIG,,SSA,,VDC,,22.12269159320326 
true,-20.367608,-40.317989,VilaVelha,BRA,,VIX,,GIG,,CNF,,VIX,,23.174231422510697 
true,-5.780023,-35.240004,Natal,BRA,,NAT,,,,NAT,,JPA,,18.424377843568088 
true,55.749942,-97.866621,Thompson,CAN,,YTH,,,,YWG,,YTH,,21.03018477211864 
true,49.833275,-99.949982,Brandon,CAN,,YBR,,MSP,,YBR,,TVF,,19.559433405826734 
true,56.733319,-111.383315,FortMcMurray,CAN,,YMM,,YEG,,YMM,,YPY,,18.283596758946032 
true,60.000019,-111.883336,FortSmith,CAN,,YSM,,YEG,,YSM,,YPY,,18.729188795348218 
true,56.233323,-117.283291,PeaceRiver,CAN,,YQU,,YEG,,YQU,,YYE,,20.784677423621947 
true,56.249989,-120.833281,FortSt. John,CAN,,YXJ,,YEG,,YXJ,,YXS,,18.47178574382518 
true,69.116956,-105.033315,CambridgeBay,CAN,,YCB,,,,YZF,,YCB,,22.569698377251573 
false,63.750459,-68.500192,Iqaluit,CAN,YFB,YFB,,,,GOH,,JSU,, 
false,67.798663,-115.12535,Kugluktuk,CAN,YCO,YCO,,,,YZF,,YCO,, 
false,69.533313,-93.53332,Taloyoak,CAN,YYH,YYH,,,,,,YYH,, 
false,61.108592,-94.058607,Arviat,CAN,YEK,YEK,,,,YSM,,YGX,, 
