destination,route,length,stops
BHY,"BHY,CTU,LONDON",15.719543737288792,3
XIY,"XIY,HEL,LONDON",13.743316288242216,3
CAN,"CAN,LONDON",15.812773977648181,2
CKG,"CKG,URC,TSE,LONDON",14.229078311178611,4
CTU,"CTU,LONDON",13.823310876125374,2
SPN,"SPN,NRT,LONDON",19.899280745296192,3
CGO,"CGO,URC,TSE,LONDON",14.516535794203325,4
CGQ,"CGQ,PEK,LONDON",14.915893882884811,3
HRB,"HRB,NZH,KJA,LED,LONDON",13.7776014263575,5
KMG,"KMG,CTU,LONDON",14.877177845439848,3
URC,"URC,TSE,LONDON",10.373863975168193,3
NKG,"NKG,PEK,LONDON",15.157080979434593,3
TNA,"TNA,PEK,LONDON",14.178901999859605,3
TSN,"TSN,URC,TSE,LONDON",14.58837911361124,4
CSX,"CSX,XIY,HEL,LONDON",15.101371450769749,4
CZX,"CZX,PEK,LONDON",15.153758592723408,3
DLC,"DLC,PEK,LONDON",14.312222155735487,3
DYG,"DYG,XIY,HEL,LONDON",14.768919093851531,4
INC,"INC,URC,TSE,LONDON",13.139714800334612,4
KHN,"KHN,XIY,HEL,LONDON",15.272770536354287,4
LHW,"LHW,URC,TSE,LONDON",13.074764391921303,4
LJG,"LJG,CTU,LONDON",14.735961903818403,3
LXA,"LXA,KTM,DEL,LONDON",13.518169348574263,4
NGB,"NGB,PEK,LONDON",15.61325196378544,3
NNG,"NNG,CTU,LONDON",15.457527802712065,3
PEK,"PEK,LONDON",13.574637993581918,2
PVG,"PVG,LONDON",15.388276983624703,2
PZI,"PZI,CTU,LONDON",14.649338527805659,3
SYD,"SYD,HKG,LONDON",28.36085311103259,3
SYX,"SYX,DME,LONDON",16.194183370823517,3
SZX,"SZX,URC,TSE,LONDON",16.000130839125912,4
TSA,"TSA,WUH,XIY,HEL,LONDON",16.43377373652871,5
TYN,"TYN,URC,TSE,LONDON",14.064557719868699,4
WUH,"WUH,XIY,HEL,LONDON",14.832220382729913,4
WUX,"WUX,PEK,LONDON",15.267011881655149,3
XNN,"XNN,URC,TSE,LONDON",12.842238684928493,4
YIH,"YIH,XIY,HEL,LONDON",14.559435041767303,4
ZHA,"ZHA,CTU,LONDON",15.86031574096354,3
FOC,"FOC,XIY,HEL,LONDON",16.09490291257208,4
SHE,"SHE,FRA,LONDON",14.471622994142612,3
WNZ,"WNZ,PEK,LONDON",15.92221771470363,3
XMN,"XMN,XIY,HEL,LONDON",16.11887684558215,4
DCY,"DCY,CTU,LONDON",14.490391406481862,3
DSN,"DSN,URC,TSE,LONDON",13.565231821462895,4
HDG,"HDG,DLC,PEK,LONDON",15.447551318829891,4
HET,"HET,URC,TSE,LONDON",13.742401270380416,4
HFE,"HFE,PEK,LONDON",15.11656062187946,3
ICN,"ICN,LONDON",14.754490504434335,2
JHG,"JHG,CTU,LONDON",15.5033519423909,3
JIQ,"JIQ,CKG,URC,TSE,LONDON",14.583662543176349,5
JZH,"JZH,CTU,LONDON",14.24761522541476,3
KOW,"KOW,CTU,LONDON",15.817621979135536,3
KWE,"KWE,URC,TSE,LONDON",14.701692570393053,4
LUM,"LUM,CTU,LONDON",15.27304843450413,3
LZY,"LZY,LXA,KTM,DEL,LONDON",14.071417211136822,5
MEL,"MEL,BKK,LONDON",28.170829005512267,3
SJW,"SJW,URC,TSE,LONDON",14.29648167121072,4
TAO,"TAO,PEK,LONDON",14.471366574761278,3
WXN,"WXN,XIY,HEL,LONDON",14.414695967201526,4
XIC,"XIC,CTU,LONDON",14.3813877021489,3
XUZ,"XUZ,INC,URC,TSE,LONDON",14.978900713681593,5
YTY,"YTY,PEK,LONDON",15.044016243337781,3
ZUH,"ZUH,CKG,URC,TSE,LONDON",16.04588853344239,5
DAT,"DAT,PEK,LONDON",14.014638684244265,3
DNH,"DNH,URC,TSE,LONDON",11.569305645983917,4
GXH,"GXH,XIY,HEL,LONDON",14.717927943980515,4
NZH,"NZH,KJA,LED,LONDON",12.445898573886444,4
KWL,"KWL,CTU,LONDON",15.230774084643167,3
JGN,"JGN,LHW,URC,TSE,LONDON",14.110820911447462,5
JJN,"JJN,WUH,XIY,HEL,LONDON",16.153744315711574,5
KHG,"KHG,URC,TSE,LONDON",12.150488929796172,4
MIG,"MIG,XNN,URC,TSE,LONDON",13.874107513102938,5
LYI,"LYI,PEK,LONDON",14.545355576432797,3
NTG,"NTG,PEK,LONDON",15.197596924140928,3
ZHY,"ZHY,XNN,URC,TSE,LONDON",13.341519609605914,5
YVR,"YVR,LONDON",12.627799835519653,2
YBP,"YBP,XIY,HEL,LONDON",14.98231819905798,4
TVS,"TVS,DLC,PEK,LONDON",14.837814245792703,4
